# MANE Select GRCh38 v1.5: every gene, symbol and HGNC id.
# source MANE.GRCh38.v1.5.summary.txt.gz sha256 d10ace2720681a3b2e0eefd9da4f551274a6b4141ac9bfd6a2565dfb6e9ad55c
symbol	hgnc_id
ACTR3C	HGNC:37282
ACTR5	HGNC:14671
ACTR6	HGNC:24025
ACTR8	HGNC:14672
ACTRT1	HGNC:24027
ACTRT2	HGNC:24026
ACTRT3	HGNC:24022
ACVR1	HGNC:171
ACVR1B	HGNC:172
ACVR1C	HGNC:18123
ACVR2A	HGNC:173
ACVR2B	HGNC:174
ACVRL1	HGNC:175
ACY1	HGNC:177
ACY3	HGNC:24104
ACYP1	HGNC:179
ACYP2	HGNC:180
ADA	HGNC:186
ADA2	HGNC:1839
ADAD1	HGNC:30713
ADAD2	HGNC:30714
ADAM10	HGNC:188
ADAM11	HGNC:189
ADAM12	HGNC:190
ADAM15	HGNC:193
ADAM17	HGNC:195
ADAM18	HGNC:196
ADAM19	HGNC:197
ADAM2	HGNC:198
ADAM20	HGNC:199
ADAM21	HGNC:200
ADAM22	HGNC:201
ADAM23	HGNC:202
ADAM28	HGNC:206
ADAM29	HGNC:207
ADAM30	HGNC:208
ADAM32	HGNC:15479
ADAM33	HGNC:15478
ADAM7	HGNC:214
ADAM8	HGNC:215
ADAM9	HGNC:216
ADAMDEC1	HGNC:16299
ADAMTS1	HGNC:217
ADAMTS10	HGNC:13201
ADAMTS12	HGNC:14605
ADAMTS13	HGNC:1366
ADAMTS14	HGNC:14899
ADAMTS15	HGNC:16305
ADAMTS16	HGNC:17108
ADAMTS17	HGNC:17109
ADAMTS18	HGNC:17110
ADAMTS19	HGNC:17111
ADAMTS2	HGNC:218
ADAMTS20	HGNC:17178
ADAMTS3	HGNC:219
ADAMTS4	HGNC:220
ADAMTS5	HGNC:221
ADAMTS6	HGNC:222
ADAMTS7	HGNC:223
ADAMTS8	HGNC:224
ADAMTS9	HGNC:13202
ADAMTSL1	HGNC:14632
ADAMTSL2	HGNC:14631
ADAMTSL3	HGNC:14633
ADAMTSL4	HGNC:19706
ADAMTSL5	HGNC:27912
ADAP1	HGNC:16486
ADAP2	HGNC:16487
ADAR	HGNC:225
ADARB1	HGNC:226
ADARB2	HGNC:227
ADAT1	HGNC:228
ADAT2	HGNC:21172
